"order_id","order_date","order_year","category","sales","quantity","discount","profit"
"CA-2017-114412","2017-04-15","2017","Office Supplies","15.552",3,"20","5.4432"
"US-2017-156909","2017-07-16","2017","Furniture","71.372",2,"30","-1.0196"
"CA-2017-107727","2017-10-19","2017","Office Supplies","29.472",3,"20","9.9468"
"CA-2017-120999","2017-09-10","2017","Technology","147.168",4,"20","16.5564"
"CA-2017-139619","2017-09-19","2017","Office Supplies","95.616",2,"20","9.5616"
"CA-2017-114440","2017-09-14","2017","Office Supplies","19.05",3,"0","8.763"
"US-2017-118038","2017-12-09","2017","Office Supplies","1.248",3,"80","-1.9344"
"US-2017-118038","2017-12-09","2017","Furniture","9.708",3,"60","-5.8248"
"US-2017-118038","2017-12-09","2017","Office Supplies","27.24",3,"20","2.724"
"US-2017-119662","2017-11-13","2017","Office Supplies","230.376",3,"20","-48.9549"
"CA-2017-140088","2017-05-28","2017","Furniture","301.96",2,"0","33.2156"
"CA-2017-155558","2017-10-26","2017","Technology","19.99",1,"0","6.7966"
"CA-2017-155558","2017-10-26","2017","Office Supplies","6.16",2,"0","2.9568"
"US-2017-109484","2017-11-06","2017","Office Supplies","5.682",1,"70","-3.788"
"CA-2017-161018","2017-11-09","2017","Furniture","96.53",7,"0","40.5426"
"CA-2017-157833","2017-06-17","2017","Office Supplies","51.312",3,"20","17.9592"
"CA-2017-119004","2017-11-23","2017","Technology","74.112",8,"20","17.6016"
"CA-2017-119004","2017-11-23","2017","Technology","27.992",1,"20","2.0994"
"CA-2017-119004","2017-11-23","2017","Office Supplies","3.304",1,"20","1.0738"
"CA-2017-146780","2017-12-25","2017","Furniture","41.96",2,"0","10.9096"
"US-2017-107272","2017-11-05","2017","Office Supplies","2.388",2,"70","-1.8308"
"US-2017-107272","2017-11-05","2017","Office Supplies","243.992",7,"20","30.499"
"US-2017-164147","2017-02-02","2017","Technology","59.97",5,"40","-11.994"
"US-2017-164147","2017-02-02","2017","Office Supplies","78.304",2,"20","29.364"
"US-2017-164147","2017-02-02","2017","Office Supplies","21.456",9,"20","6.9732"
"CA-2017-106180","2017-09-18","2017","Office Supplies","8.82",3,"0","2.3814"
"CA-2017-106180","2017-09-18","2017","Office Supplies","10.86",3,"0","5.1042"
"CA-2017-106180","2017-09-18","2017","Office Supplies","143.7",3,"0","68.976"
"CA-2017-155376","2017-12-22","2017","Office Supplies","839.43",3,"0","218.2518"
"US-2017-152366","2017-04-21","2017","Office Supplies","97.264",4,"80","-243.16"
"CA-2017-107720","2017-11-06","2017","Office Supplies","46.26",3,"0","12.0276"
"US-2017-124303","2017-07-06","2017","Office Supplies","2.946",2,"70","-2.2586"
"US-2017-124303","2017-07-06","2017","Office Supplies","16.056",3,"20","5.8203"
"CA-2017-105074","2017-06-24","2017","Office Supplies","21.744",3,"20","6.795"
"US-2017-116701","2017-12-17","2017","Office Supplies","66.284",2,"80","-178.9668"
"CA-2017-126382","2017-06-03","2017","Furniture","35.168",7,"20","9.6712"
"CA-2017-108329","2017-12-09","2017","Technology","444.768",4,"20","44.4768"
"CA-2017-135860","2017-12-01","2017","Office Supplies","83.92",4,"0","5.8744"
"CA-2017-135860","2017-12-01","2017","Technology","131.98",2,"0","35.6346"
"CA-2017-135860","2017-12-01","2017","Office Supplies","15.92",4,"0","7.4824"
"CA-2017-135860","2017-12-01","2017","Office Supplies","52.29",9,"0","16.2099"
"CA-2017-135860","2017-12-01","2017","Office Supplies","91.99",1,"0","3.6796"
"US-2017-100930","2017-04-07","2017","Furniture","233.86",2,"45","-102.048"
"US-2017-100930","2017-04-07","2017","Furniture","620.6145",3,"45","-248.2458"
"US-2017-100930","2017-04-07","2017","Office Supplies","5.328",2,"70","-3.552"
"US-2017-100930","2017-04-07","2017","Furniture","258.072",3,"20","0.0"
"US-2017-100930","2017-04-07","2017","Technology","617.976",3,"20","-7.7247"
"CA-2017-160514","2017-11-12","2017","Office Supplies","10.56",2,"0","4.752"
"CA-2017-163139","2017-12-01","2017","Technology","20.37",3,"0","6.9258"
"CA-2017-163139","2017-12-01","2017","Office Supplies","221.55",3,"0","6.6465"
"CA-2017-163139","2017-12-01","2017","Office Supplies","17.52",5,"20","6.132"
"US-2017-155299","2017-06-08","2017","Office Supplies","1.624",2,"80","-4.466"
"CA-2017-136826","2017-06-16","2017","Office Supplies","14.016",3,"20","4.7304"
"US-2017-145366","2017-12-09","2017","Office Supplies","37.208",1,"20","-7.4416"
"US-2017-145366","2017-12-09","2017","Office Supplies","57.576",3,"20","21.591"
"CA-2017-163979","2017-12-28","2017","Office Supplies","725.84",4,"0","210.4936"
"CA-2017-118136","2017-09-16","2017","Office Supplies","8.82",2,"0","4.0572"
"CA-2017-118136","2017-09-16","2017","Office Supplies","5.98",1,"0","1.5548"
"CA-2017-132976","2017-10-13","2017","Office Supplies","11.648",2,"20","4.0768"
"CA-2017-132976","2017-10-13","2017","Office Supplies","18.176",4,"20","5.9072"
"CA-2017-132976","2017-10-13","2017","Office Supplies","59.712",6,"20","5.9712"
"CA-2017-132976","2017-10-13","2017","Office Supplies","24.84",3,"20","8.694"
"US-2017-152380","2017-11-19","2017","Furniture","219.075",3,"50","-131.445"
"CA-2017-126774","2017-04-15","2017","Office Supplies","4.89",1,"0","2.0049"
"CA-2017-153339","2017-11-03","2017","Furniture","15.992",1,"20","0.9995"
"CA-2017-169901","2017-06-15","2017","Technology","47.976",3,"20","4.7976"
"CA-2017-134306","2017-07-08","2017","Office Supplies","7.56",3,"0","3.0996"
"CA-2017-134306","2017-07-08","2017","Office Supplies","24.56",2,"0","11.5432"
"CA-2017-134306","2017-07-08","2017","Office Supplies","12.96",2,"0","4.1472"
"CA-2017-155698","2017-03-08","2017","Office Supplies","647.84",8,"0","168.4384"
"CA-2017-155698","2017-03-08","2017","Office Supplies","20.7",2,"0","9.936"
"CA-2017-144904","2017-09-25","2017","Office Supplies","20.7",2,"0","9.936"
"CA-2017-144904","2017-09-25","2017","Furniture","488.646",3,"10","86.8704"
"CA-2017-144904","2017-09-25","2017","Office Supplies","5.56",2,"0","1.4456"
"CA-2017-144904","2017-09-25","2017","Furniture","47.12",8,"0","20.7328"
"CA-2017-104745","2017-05-29","2017","Office Supplies","25.92",5,"20","9.396"
"CA-2017-104745","2017-05-29","2017","Office Supplies","53.424",3,"20","4.6746"
"US-2017-134481","2017-08-27","2017","Furniture","1488.424",7,"30","-297.6848"
"CA-2017-101798","2017-12-11","2017","Office Supplies","23.36",4,"20","7.884"
"CA-2017-101798","2017-12-11","2017","Technology","39.98",2,"0","13.5932"
"CA-2017-102946","2017-06-30","2017","Office Supplies","75.792",3,"20","25.5798"
"CA-2017-165603","2017-10-17","2017","Office Supplies","49.96",2,"0","9.4924"
"CA-2017-165603","2017-10-17","2017","Office Supplies","12.96",2,"0","6.2208"
"CA-2017-117933","2017-12-24","2017","Office Supplies","35.91",3,"0","9.6957"
"CA-2017-117457","2017-12-08","2017","Technology","179.95",5,"0","37.7895"
"CA-2017-117457","2017-12-08","2017","Technology","1199.976",3,"20","434.9913"
"CA-2017-117457","2017-12-08","2017","Office Supplies","27.15",5,"0","13.3035"
"CA-2017-117457","2017-12-08","2017","Furniture","1004.024",7,"20","-112.9527"
"CA-2017-117457","2017-12-08","2017","Office Supplies","9.68",1,"0","4.6464"
"CA-2017-117457","2017-12-08","2017","Office Supplies","28.35",9,"0","13.608"
"CA-2017-117457","2017-12-08","2017","Office Supplies","55.98",1,"0","27.4302"
"CA-2017-117457","2017-12-08","2017","Furniture","1336.829",13,"15","31.4548"
"CA-2017-117457","2017-12-08","2017","Furniture","113.568",2,"20","-18.4548"
"CA-2017-142636","2017-11-03","2017","Office Supplies","139.86",7,"0","65.7342"
"CA-2017-142636","2017-11-03","2017","Furniture","307.136",4,"20","26.8744"
"CA-2017-122105","2017-06-24","2017","Office Supplies","95.92",8,"0","25.8984"
"CA-2017-154816","2017-11-06","2017","Office Supplies","5.78",1,"0","2.8322"
"CA-2017-110478","2017-03-04","2017","Office Supplies","9.32",4,"0","2.7028"
"CA-2017-110478","2017-03-04","2017","Office Supplies","15.25",1,"0","7.015"
"CA-2017-125388","2017-10-19","2017","Furniture","56.56",4,"0","14.7056"
"CA-2017-125388","2017-10-19","2017","Office Supplies","32.7",3,"0","8.502"
